Tournament,Men's Singles Winner,Men's Singles Runner-Up,Women's Singles Winner,Women's Singles Runner-Up
Australian Open,Jannik Sinner (Italy),Daniil Medvedev (Russia),Aryna Sabalenka (Belarus),Zheng Qinwen (China)
French Open,Carlos Alcaraz (Spain),Alexander Zverev (Germany),Iga Świątek (Poland),Jasmine Paolini (Italy)
Wimbledon,Carlos Alcaraz (Spain),Novak Djokovic (Serbia),Barbora Krejčíková (Czech Republic),Jasmine Paolini (Italy)
US Open,Jannik Sinner (Italy),Taylor Fritz (United States),Aryna Sabalenka (Belarus),Jessica Pegula (United States)
